Size,AddTime,AddAllTime,ClearTime,ContainsTime,ContainsAllTime,IsEmptyTime,RemoveTime,RemoveAllTime,RetainAllTime,SizeTime,ToArrayTime,ToStringTime
1,2842,2009,733,1600,1975192,1208,2966,168517,22267,367,8833,1208
10,9508,7100,325,650,13075,175,700,6834,6250,92,883,167
50,46858,35491,375,709,35925,175,608,38833,23567,117,1250,225
100,98617,54917,325,525,56109,158,484,40550,27592,100,833,150
250,103983,65317,383,933,119925,175,500,93392,70342,92,992,159
500,111508,88200,391,5825,157092,175,3175,219167,106533,125,1275,217
750,150750,98783,491,6767,117042,233,8675,136858,79108,100,917,183
1000,123075,109133,325,267,77983,167,616,69750,86391,92,808,184
2500,261750,226308,925,400,222225,208,442,221134,245308,92,1125,217
5000,694458,460466,525,2666,477783,275,675,411934,390367,84,1325,192
7500,827150,631416,817,6008,455267,608,617,324584,551592,92,2925,200
10000,751084,421967,383,3733,375342,175,2684,330700,692467,75,1117,208
25000,2337217,1418775,583,642,955692,225,1000,351650,1671950,75,1475,258
50000,3658100,3510125,850,550,1343833,325,358,662392,1873642,58,2167,308
100000,6797625,5390158,642,700,1421750,275,484,1327883,610791,58,3258,300
250000,15159567,14661983,2392,1767,4516208,633,392,3262000,565708,59,3800,475
500000,77345558,53414600,6808,2033,18666125,1117,2708,32222925,3498825,291,6717,900
1000000,87065375,89839591,4050,6775,41904475,1242,467,51744508,2754500,167,6208,692
