Size,AddTime,AddAllTime,ClearTime,ContainsTime,ContainsAllTime,IsEmptyTime,RemoveTime,RemoveAllTime,RetainAllTime,SizeTime,ToArrayTime,ToStringTime
100,69750,47167,2375,667,43666,208,792,166541,666,167,458,1833
250,85917,41875,4416,3042,87666,250,625,265125,791,83,583,1750
500,89125,80583,8542,2834,183875,208,875,735416,750,167,667,1667
750,107208,102833,8500,375,52334,167,541,1458125,1458,167,750,2750
1000,101709,95541,17166,750,61542,250,667,2240833,708,167,875,1917
2500,216583,195875,32209,3458,137334,209,2375,1452417,584,83,458,1667
5000,377959,348041,63917,500,307834,208,5750,5420375,1209,1166,1125,2834
7500,651208,714250,127209,14084,272125,500,1208,16969792,3458,333,2250,7625
10000,863291,414125,128250,6333,403542,542,1792,25713333,2666,375,3084,7209
25000,1890750,1224750,339000,1250,885333,375,1458,151217875,5375,667,2666,8625
50000,3862625,4999667,104333,1417,1492958,292,1500,742104917,3375,583,2292,6375
100000,6856917,6190667,61750,1583,2726166,375,917,2322147625,4083,792,3417,7292
