Size,AddTime,AddAllTime,ClearTime,ContainsTime,ContainsAllTime,IsEmptyTime,RemoveTime,RemoveAllTime,RetainAllTime,SizeTime,ToArrayTime,ToStringTime
100,96583,77542,3625,1500,28292,458,1708,396625,1916,542,1625,1084
200,91250,50542,4166,459,30042,166,500,411167,500,125,375,959
300,44709,43792,4375,334,65459,167,542,362917,666,125,375,1083
400,76417,74791,8375,4083,21834,167,417,390792,375,83,208,791
500,81583,90834,8250,166,27708,166,250,590917,375,83,250,792
600,62834,68458,7959,125,32125,209,250,948292,458,84,375,875
700,66125,73750,7959,166,38333,167,250,1229917,459,125,375,833
800,86083,80208,16208,2083,44542,209,1917,1542542,667,250,250,958
900,106250,81834,16667,333,48750,250,6292,246917,583,84,542,5166
1000,91417,85500,16292,208,54125,209,375,292375,459,84,334,1209
1100,92083,79958,16167,83,56583,541,375,348917,500,125,333,1000
1200,85834,85666,16250,166,63958,250,292,402375,500,125,458,791
1300,131792,86750,16125,208,71792,209,208,458291,416,125,291,833
1400,97333,93042,16125,2125,64208,166,208,514625,666,83,250,791
1500,99084,97083,16125,541,63000,250,209,571959,417,125,250,708
1600,126917,127709,31959,125,64042,209,625,640334,417,84,250,750
1700,132875,143250,31958,84,67750,166,250,701667,416,83,208,750
1800,138959,135000,31916,84,72625,167,250,836458,417,125,209,875
1900,139167,141500,32000,42,75291,208,208,976792,417,83,208,750
2000,162459,151083,32084,125,77875,209,375,1068500,500,84,250,792
2100,146083,102542,30792,125,82291,167,208,1176791,583,125,292,792
2200,158958,113208,34083,125,86291,250,208,1291541,500,83,292,750
2300,165375,108584,30792,9667,140542,208,209,1347667,416,125,208,708
2400,137833,69750,29125,4500,299000,166,500,1445083,417,125,292,875
2500,155333,70250,37834,209,142917,166,250,1577583,459,84,209,667
2600,148208,85291,19083,583,109666,208,208,1750708,458,125,209,709
2700,157417,75666,8875,83,107542,167,167,1863250,458,125,250,708
2800,154291,132292,8417,125,112125,166,208,2006500,458,208,208,750
2900,168292,113083,8667,125,117292,250,208,2253042,1791,208,750,2792
3000,178625,63542,8084,167,116000,209,583,2174375,500,125,292,1209
3100,204833,92250,16458,125,126750,167,333,2318375,500,125,292,1041
3200,208792,92042,16167,125,115875,209,250,2460750,500,83,250,792
3300,211833,99125,23833,167,129750,167,250,2666958,459,84,292,833
