Size,AddTime,AddAllTime,ClearTime,ContainsTime,ContainsAllTime,IsEmptyTime,RemoveTime,RemoveAllTime,RetainAllTime,SizeTime,ToArrayTime,ToStringTime
100,256400,199791,275,508,30592,91,342,236708,7850,66,625,100
250,244350,198758,300,275,22158,142,225,371983,13691,83,683,117
500,325775,558508,333,300,36092,117,1600,453658,32217,58,808,134
750,426800,393883,316,291,54267,125,942,267908,41083,66,875,125
1000,539883,633892,383,325,79258,125,217,332342,52083,75,708,100
2500,1127883,1036925,1208,358,210259,117,233,754883,129534,92,675,158
5000,2588450,1571967,383,425,258508,133,4225,1173825,201733,75,708,875
7500,1598766,1567458,1075,10992,537100,125,758,1146958,297650,59,708,150
10000,2440225,2552275,358,492,742742,142,216,864833,401092,58,5600,200
25000,7751483,6569133,367,883,2097025,125,283,2273183,929000,67,817,275
50000,15221792,14947834,1625,942,2316883,275,350,3562925,891567,242,1575,359
100000,33556292,37572308,3200,1783,2139875,333,434,7142616,341041,175,1609,333
