Size,AddTime,AddAllTime,ClearTime,ContainsTime,ContainsAllTime,IsEmptyTime,RemoveTime,RemoveAllTime,RetainAllTime,SizeTime,ToArrayTime,ToStringTime
100,76250,57917,2292,958,45084,167,833,166875,625,125,500,1250
250,119292,48125,4417,4667,100084,250,1292,446084,875,208,500,1125
500,99250,82417,8625,3208,140250,250,750,621167,875,208,625,1042
750,120125,108084,8500,292,48625,209,459,1303167,916,209,583,1042
1000,116583,103792,15750,250,58000,166,500,1803584,667,208,500,1042
2500,218209,194375,32125,2750,133958,208,2792,1472875,625,125,500,1084
5000,342958,343042,63792,292,278959,250,3209,5602500,1584,625,1250,2750
7500,911291,821084,127375,6959,286125,625,1125,13584500,1000,292,1041,4083
10000,643250,390459,116375,3625,338875,292,750,23333250,792,167,875,2250
25000,1832791,1136167,320791,875,860000,292,625,142982416,2084,375,2167,8500
50000,3279917,4922042,104375,709,1400709,250,792,735566833,3542,625,2500,6208
100000,4843042,4790333,69042,750,2012083,208,1167,2280570667,4042,333,3417,8334
