Size,AddTime,AddAllTime,ClearTime,ContainsTime,ContainsAllTime,IsEmptyTime,RemoveTime,RemoveAllTime,RetainAllTime,SizeTime,ToArrayTime,ToStringTime
1,2791,1642,575,558,3258,417,567,4467725,3433,367,1058,1459
10,7208,5817,233,350,3833,92,308,58675,2867,58,592,109
50,217275,168675,291,408,16892,108,358,179791,12008,58,642,92
100,256400,199791,275,508,30592,91,342,236708,7850,66,625,100
250,244350,198758,300,275,22158,142,225,371983,13691,83,683,117
500,325775,558508,333,300,36092,117,1600,453658,32217,58,808,134
750,426800,393883,316,291,54267,125,942,267908,41083,66,875,125
1000,539883,633892,383,325,79258,125,217,332342,52083,75,708,100
2500,1127883,1036925,1208,358,210259,117,233,754883,129534,92,675,158
5000,2588450,1571967,383,425,258508,133,4225,1173825,201733,75,708,875
7500,1598766,1567458,1075,10992,537100,125,758,1146958,297650,59,708,150
10000,2440225,2552275,358,492,742742,142,216,864833,401092,58,5600,200
25000,7751483,6569133,367,883,2097025,125,283,2273183,929000,67,817,275
50000,15221792,14947834,1625,942,2316883,275,350,3562925,891567,242,1575,359
100000,33556292,37572308,3200,1783,2139875,333,434,7142616,341041,175,1609,333
250000,114908242,100353542,3475,1108,5221733,900,450,19654025,381225,250,1491,375
500000,271670700,232060033,2825,1017,12339392,600,275,48557533,1161675,450,1708,367
1000000,648562000,615303608,2941,1058,28698517,867,433,118888033,1811592,425,1817,575
2000000,1544639958,1467972308,3600,2716,67891642,900,2967,541796008,4703225,567,1933,575
4000000,3191879892,3043965567,3959,2283,145352450,1208,4333,3027594608,6908150,675,2417,542
7199369,5645092025,5470806975,4367,1891,277899083,1059,4058,8080637067,12716333,683,2058,617
8000000,6604616975,6402463967,5292,3583,300880092,1258,4709,11767769225,13723767,633,2792,709
10000000,8017493242,7779172983,4308,2017,396305517,950,4217,14858559458,19095400,492,2359,708
