Size,AddTime,AddAllTime,ClearTime,ContainsTime,ContainsAllTime,IsEmptyTime,RemoveTime,RemoveAllTime,RetainAllTime,SizeTime,ToArrayTime,ToStringTime
100,457416,289083,875,875,31708,458,708,1666416,25458,375,1292,1459
200,266208,190292,250,250,13000,125,250,298708,11125,41,708,125
300,213917,211042,375,166,21166,125,167,292375,16334,83,625,125
400,286875,261375,292,125,27458,125,250,197584,21000,125,583,83
500,316792,291459,250,250,35000,167,208,189000,47792,83,625,83
600,375416,340167,291,125,43083,84,125,211792,31500,41,583,125
700,395917,390333,292,375,50875,83,125,230208,35916,42,583,83
800,412125,385375,292,166,55708,125,125,234416,42042,84,459,84
900,467125,380792,208,125,64334,84,125,260250,46458,42,458,83
1000,298417,275083,250,83,61291,83,84,257709,52125,41,458,42
1100,312167,301291,291,209,67334,416,208,284500,56792,83,500,84
1200,1084958,343375,292,167,70833,167,167,314000,63958,83,791,125
1300,293459,276916,209,208,78458,125,84,323584,67042,83,583,83
1400,295542,283625,250,83,80833,83,1958,362125,58417,42,542,83
1500,361584,348834,334,292,82209,125,84,352500,61958,125,708,208
1600,360750,323458,292,250,93375,125,83,357458,66958,42,542,83
1700,447292,472542,375,666,104583,83,167,365916,71000,41,583,83
1800,457500,442250,250,250,95542,83,84,430334,74875,83,583,250
1900,480083,439167,208,125,100917,125,125,233958,78791,42,500,83
2000,504917,456792,208,292,106500,42,125,238166,83209,42,542,125
2100,462500,462250,250,167,110792,125,667,201000,93083,83,500,125
2200,556500,501792,208,166,107917,84,83,205167,100917,83,458,41
2300,525208,531500,209,125,109625,84,83,215333,88917,42,417,83
2400,534083,527875,333,250,129708,167,250,206625,96625,83,750,125
2500,533958,450916,250,84,115750,83,84,207875,93917,42,500,84
2600,606750,554417,167,125,130666,125,125,236000,100459,84,417,83
2700,624334,559708,167,83,135083,83,41,249292,112500,83,500,42
2800,637500,565833,209,125,140291,83,83,257833,110666,42,500,84
2900,647625,569375,125,125,161209,42,84,273584,117750,42,500,83
3000,667125,550000,125,166,148792,42,84,250042,120500,42,458,41
3100,782208,650166,125,83,183500,125,125,272583,123625,42,375,84
3200,802958,658584,167,333,168500,83,41,266208,130042,42,458,83
3300,770250,731458,208,83,202708,83,125,281833,128833,41,458,42
3400,761917,669584,167,84,175542,83,84,268667,134125,83,416,125
3500,780542,659541,167,750,205166,83,84,286334,153250,42,500,42
3600,720667,671709,167,84,89042,83,83,185791,69875,84,834,42
3700,959750,841917,250,250,112875,42,125,200542,40875,42,458,125
3800,880125,857417,250,416,99000,84,83,203667,30834,42,458,41
3900,835792,794250,167,42,100792,83,41,202458,31917,42,417,41
4000,849750,798208,167,125,111458,84,84,244334,38209,42,666,83
4100,844041,784875,167,125,104625,42,84,223084,33333,83,500,41
4200,1401292,639417,292,250,87250,83,84,209334,33292,125,750,84
4300,680042,648833,250,125,99334,83,84,214084,35000,83,458,83
4400,1025084,866375,125,167,106417,42,84,224916,35542,83,542,83
4500,876500,844333,250,83,130875,83,83,251916,38792,42,500,42
4600,902250,791375,208,42,120208,84,166,240792,38042,41,458,83
4700,945542,826500,292,167,147417,125,125,289709,47708,83,542,84
4800,877917,874375,208,84,124917,41,83,260208,41083,83,458,83
4900,829417,821875,125,250,60167,41,83,284417,63792,84,583,83
5000,879250,804417,167,83,56083,83,41,220042,10125,42,667,83
5100,838500,812250,167,125,57375,83,83,216791,7333,42,459,42
5200,884125,872959,166,250,69458,83,83,237750,7875,41,542,42
5300,1028209,998208,208,375,68833,125,83,255041,7875,83,625,83
5400,1067417,1063292,3042,542,72792,333,167,256875,7709,83,1292,125
5500,970042,930542,208,166,61958,42,42,235250,7584,84,541,83
5600,963375,959875,166,292,62041,42,84,235042,7333,83,458,42
5700,957666,928417,208,83,67541,42,42,273542,7375,41,833,84
5800,926875,1152209,250,292,65917,41,83,254167,7750,83,458,41
5900,1846834,1040583,500,458,68292,208,83,247333,8917,42,875,250
6000,912333,889459,125,125,70584,84,84,250000,8375,41,458,83
6100,911791,1073667,167,167,76083,41,83,260000,9166,83,625,41
6200,953416,914833,125,167,74541,42,125,251000,8625,83,458,42
6300,963458,927958,125,125,75167,83,41,253500,9416,84,459,42
6400,1093000,1076667,125,41,72375,41,83,281625,9042,42,416,42
6500,1168041,1088750,167,84,82125,83,41,288417,9042,41,458,83
6600,1094417,1078708,125,125,76875,42,83,285291,8875,42,458,41
6700,1102542,1074959,208,83,78292,83,83,286791,9292,41,458,125
6800,1131166,1107834,125,167,78500,84,209,292833,9958,41,667,42
6900,1124000,1077583,125,84,79750,42,84,293667,9250,42,416,42
7000,1163416,1095292,125,209,79125,42,42,295834,10375,84,458,125
7100,1143584,1121500,167,125,81709,125,125,299583,9875,41,2333,83
7200,1216125,1826709,1584,250,80209,42,42,295833,11292,83,667,167
7300,1124500,1123500,167,208,83167,83,83,310291,9708,42,542,83
7400,1115542,1111375,125,83,90208,83,83,305625,10250,42,417,83
7500,1118916,1112750,292,83,87292,42,83,305625,10667,41,458,42
7600,1313250,1322625,209,41,87167,42,83,330041,10583,84,417,208
7700,1313750,1351584,125,0,118709,83,83,339625,10417,41,500,83
7800,1322125,1296917,166,333,90833,84,42,338666,10791,42,417,83
7900,1336458,1348000,250,125,94667,42,84,341125,10292,41,458,125
8000,1329541,1328792,167,375,99416,84,42,357916,11750,41,500,83
8100,1321416,1309833,1375,834,93792,500,291,342292,11333,83,1875,209
8200,1329291,1294792,417,166,97625,41,83,363500,11458,42,541,83
8300,1358291,2107334,666,333,98042,250,167,351791,12500,42,750,250
8400,1378834,1375292,625,250,104583,84,125,380458,11958,42,625,83
8500,1328000,1358291,208,83,100041,83,167,357042,11458,41,542,84
8600,1323875,1404834,167,41,108958,83,83,356709,12250,41,542,41
8700,1357167,1357125,209,83,105834,42,125,361041,12000,42,416,83
8800,1360291,1336917,292,42,104958,83,83,362666,11833,84,459,84
8900,1386333,1351500,208,125,110542,84,84,366750,12459,42,375,41
9000,1349417,1383083,500,291,108167,83,42,367208,12417,42,542,42
9100,1343833,1371000,333,167,116292,83,42,366792,12875,41,375,83
9200,1612208,1592542,250,250,116291,83,125,407750,12875,42,541,42
9300,1664417,2458959,1917,459,101084,83,83,412917,13084,7334,833,167
9400,1585791,1592250,166,167,118791,125,125,445542,13375,1250,542,166
9500,1621875,1665666,209,208,118833,167,84,412834,13000,250,458,83
9600,1630167,1595333,334,333,120959,42,83,418125,13583,42,584,42
9700,1601500,1625292,250,459,123542,83,41,419750,13167,84,417,42
9800,1605292,1625917,209,209,125459,42,84,423834,13417,83,417,42
9900,1631042,1606500,250,333,129292,125,42,427375,13083,42,417,41
10000,1620083,1660333,333,125,152792,84,84,494917,14625,0,709,167
10100,1603292,1606791,250,750,135458,83,167,450458,13792,41,542,42
10200,2097584,2073250,583,417,138792,125,83,439500,15041,42,958,167
10300,2199875,2118083,375,500,141500,41,83,466625,14500,41,583,125
10400,2092833,2054750,417,4208,154958,42,84,444625,14458,42,625,83
10500,1683750,1657333,250,333,148208,42,84,441459,14542,42,625,125
10600,1641458,1661292,208,292,148917,41,83,451125,14291,42,13167,84
10700,1754208,1677583,375,250,183750,41,83,440167,14875,0,4375,84
10800,1661083,1653083,250,167,160791,42,84,445875,15167,42,250,83
10900,1703042,1827458,458,125,163417,83,167,456250,14916,42,167,84
11000,1954583,1950166,500,333,144458,83,83,491333,14959,83,166,125
11100,1958416,1935167,167,125,146500,42,84,507084,15375,42,208,125
11200,2838500,2087875,459,208,125708,125,83,507833,16083,42,417,333
11300,2089000,2082750,375,250,154833,83,125,542208,15500,41,167,208
11400,2082000,2081750,208,250,155667,83,83,501166,15125,42,166,167
11500,1941084,1968042,541,41,182125,125,125,556875,16750,0,208,292
11600,1962667,1966000,542,125,164666,42,84,528000,15708,42,125,83
11700,1989375,1952083,209,208,189416,292,125,530125,19833,0,125,83
11800,1993042,1944875,625,0,159667,83,83,529333,23208,41,167,125
11900,1956459,1950833,375,84,160209,42,125,520916,16667,41,125,83
12000,1967333,1996250,375,41,174167,41,83,514458,15959,42,125,125
12100,1973916,1978709,750,209,172041,83,84,528792,17583,42,333,250
12200,1999166,1957583,250,250,168292,125,166,524375,16834,84,125,83
12300,2001709,1975291,292,83,170500,83,84,525167,17041,42,166,125
12400,1960542,1974584,208,292,171417,84,84,519542,16500,83,167,125
12500,1971750,2005416,250,167,168542,83,125,524375,17209,0,167,41
12600,1992250,1997167,334,167,183042,42,83,533708,17500,42,125,84
12700,1981709,2016625,250,209,174459,42,125,533958,17375,42,83,83
12800,2003459,2012750,833,208,181958,291,125,541792,17875,84,208,375
12900,1999959,1982209,2084,375,169292,875,83,585500,19542,84,542,708
13000,2217458,1979375,416,41,179792,84,42,535334,17042,84,125,83
13100,1951833,1988542,291,209,188667,125,83,543875,18833,0,292,209
13200,2459000,2367167,250,209,179875,83,83,620375,17875,83,375,416
13300,2357667,2372083,334,125,185750,83,42,607000,19667,0,125,166
13400,2342875,2400709,292,209,179791,42,84,603958,19250,42,208,83
13500,2415792,2320375,250,125,187541,84,84,615541,23583,0,84,125
13600,2315917,2391667,458,125,192125,84,84,636625,19250,42,125,125
13700,2352667,3367583,1625,750,162375,125,250,594084,18917,83,458,458
13800,2313958,2340583,375,125,193458,83,83,616458,19250,42,83,125
13900,2443041,2329459,250,83,196500,125,84,610125,19042,0,166,208
14000,2369959,2365041,291,125,210625,83,166,615750,19334,42,208,83
14100,2389875,2382208,500,208,213500,41,83,611000,19625,42,125,125
14200,2395625,2397750,417,291,202334,42,125,648583,19875,41,166,125
14300,2329750,2357416,1292,791,195459,458,167,618625,19375,42,250,375
14400,2447500,2403125,1292,83,199458,250,83,623750,20917,42,166,333
14500,2598875,2293500,708,250,205375,84,250,677250,23584,84,209,792
14600,2545000,2404833,375,250,214958,125,84,636167,20250,42,83,333
14700,2544958,2384083,292,333,202917,84,42,640042,20250,125,125,167
14800,2591250,2388875,375,334,231209,125,83,637250,20625,41,125,166
14900,2606833,2387125,459,334,210375,83,83,640125,21417,41,125,166
15000,2390375,2379416,208,125,223500,42,125,715833,20333,41,125,125
15100,2421875,2396084,292,375,215292,125,41,646750,20417,42,208,250
15200,3312959,2457709,1125,292,173958,166,83,628000,22625,42,625,250
15300,2452917,2379167,292,500,216958,42,83,650458,20458,83,125,83
15400,2421958,2378209,375,541,210791,250,125,653833,21750,42,125,250
15500,2416208,2416209,167,166,226000,166,42,653667,21375,41,83,125
15600,2423750,2388125,291,208,217708,83,83,679000,21083,42,125,125
15700,2430541,2406167,500,125,225791,84,84,658750,21417,209,166,83
15800,2873875,2845209,833,250,211917,83,208,728708,21458,0,125,208
15900,4044000,2985375,833,333,181042,417,84,731792,22375,42,291,458
16000,2876875,2866334,541,84,231084,83,83,728417,23167,0,125,125
16100,2801459,2807916,1875,625,227792,583,291,725625,22333,125,375,416
16200,3137000,2834250,2083,500,235459,417,333,754292,22084,250,500,334
16300,2993333,2991750,1375,625,230291,375,292,720667,21541,250,458,541
16400,3094875,2780042,1083,416,227125,375,208,770583,24000,500,542,541
16500,3024750,3879458,1792,625,194333,375,208,741041,24458,42,250,750
16600,3031541,2804958,458,125,239041,250,83,744333,24583,41,125,42
16700,2948875,3088167,1042,167,237666,167,125,754500,23042,42,84,209
16800,2906500,2839375,750,375,240458,125,41,750250,23125,41,83,83
16900,2910000,2862250,292,250,241000,83,83,769125,23542,42,292,42
17000,2917083,2855208,375,83,241583,167,84,754375,24209,0,541,83
17100,2938209,4068875,1958,250,201750,167,208,758291,25417,42,167,3167
17200,2808916,2904083,792,41,235792,125,83,771541,24125,84,125,250
17300,2902042,2867292,583,167,259625,209,84,764417,23250,166,208,167
17400,2945375,2842792,1041,125,318083,166,83,801334,24334,42,292,250
17500,2918959,2898833,500,416,248959,84,209,787125,24084,42,166,292
17600,2908041,3082959,833,583,254042,208,209,782167,23916,42,458,166
17700,2914625,2884834,2167,792,207708,375,125,737666,24667,41,625,417
17800,3364208,3394167,375,291,272000,83,125,787125,24500,83,167,208
17900,3398708,2984042,1000,209,259959,83,83,770625,25542,0,250,167
18000,2879541,2935250,500,125,254417,83,83,769083,24084,0,84,84
18100,2950125,2919083,417,167,259083,83,83,776083,25709,42,125,84
18200,2910167,2865625,750,167,270041,208,83,784208,25792,0,84,125
18300,2943916,2893833,2250,333,290833,500,125,966542,25875,84,250,500
18400,3116417,2935708,667,333,274375,83,83,784458,24875,208,291,209
18500,2983084,2906583,334,458,262292,209,42,784500,26625,42,250,334
18600,2937292,2879666,333,125,265875,84,84,861250,25625,41,167,83
18700,2929125,2921917,875,250,259583,41,208,801958,25458,42,125,167
18800,2937542,2893416,292,250,272042,41,42,789084,26375,84,125,250
18900,3037584,2904875,1792,541,229416,292,208,822042,27333,84,250,375
19000,3378542,3454625,1125,250,270167,83,42,877667,26709,42,166,500
19100,3389500,3449042,333,250,276583,125,83,876125,26584,0,250,209
19200,3511458,3464417,250,333,271042,83,83,886250,25792,41,83,333
19300,3630500,3454334,1083,708,271042,375,208,940458,27000,250,417,792
19400,3466250,3590417,916,166,273833,334,125,874584,25209,84,208,375
19500,4392917,4461667,1417,708,276458,209,125,996125,30416,167,125,417
19600,4844000,4934625,2084,3208,408125,667,167,877167,27459,167,292,333
19700,3562375,3471875,541,125,279708,167,125,884000,26375,125,166,83
19800,3587916,3519708,416,209,291125,209,84,910250,27250,41,167,167
19900,3703250,3485125,333,250,281375,125,583,970417,28000,0,167,416
20000,3568000,3528750,542,250,287125,166,167,918791,28042,42,250,125
