"Size";"add(E)";"addAll(Collection)";"clear()";"clone()";"constructor()";"constructor(Collection)";"contains(Object)";"containsAll(Collection)";"equals(Object)";"hashCode()";"isEmpty()";"iterator()";"remove(Object)";"removeAll(Collection)";"retainAll(Collection)";"size()";"toArray()";"toArray(T[])";"toString()"
5000;429823;441105;44;50543;65;30904;182;2580;538313;60965;41;31039;153;6613;2119887;41;60898;76142;114691
10000;852752;859724;55;103565;107;69383;164;4484;1106464;128149;63;63324;159;12769;8263414;40;126781;141046;244823
15000;1223818;1254892;61;155190;119;90141;250;7089;1724904;203771;88;91886;304;19230;18826063;50;178531;229382;408140
20000;1744305;1798791;260;212787;546;124720;208;10749;2187403;273455;158;131034;399;25633;32874847;68;248994;306359;517175
25000;2157268;2309794;106;280811;350;152049;383;11469;3058154;330494;142;161391;552;32537;52002251;75;335718;363982;681631
30000;2663971;2642443;166;350345;1081;194606;758;15899;3425329;462718;355;201225;809;40569;81282707;86;535624;435262;818226
35000;3666394;3279407;140;398181;759;214674;807;20763;3965359;586137;328;248397;1141;47950;115111504;98;535504;534923;940881
40000;3853986;3828953;336;455319;622;267793;1435;24532;4805153;780687;492;279527;1773;55863;159141415;193;657013;578095;1050371
45000;3838232;3963066;204;513336;729;309614;2229;28303;4952725;767939;812;308637;2014;64304;200274674;190;708350;617629;1165962
50000;4729376;4664898;598;559817;950;445575;2811;33073;5906040;1045931;914;393919;3137;72294;258610498;268;927258;702147;1301147
