Size,AddTime,AddAllTime,ClearTime,ContainsTime,ContainsAllTime,IsEmptyTime,RemoveTime,RemoveAllTime,RetainAllTime,SizeTime,ToArrayTime,ToStringTime
16,7916,10083,750,43,557250,16,57,962375,16958,15,387417,31541
32,9834,13458,334,46,23959,15,48,68833,27334,14,16000,9208
64,25000,24667,250,47,28250,15,48,132500,72416,14,17625,32541
128,64041,59292,250,44,35917,14,47,222750,180250,13,35541,20875
256,117625,138500,334,29,68209,14,29,292916,321375,14,92125,49708
512,249166,248791,500,28,40291,14,28,314458,1017084,13,54041,69500
1024,511917,495208,291,23,57375,13,23,644917,3949833,13,61750,122791
2048,752083,729583,167,25,117542,2,24,1149875,5003167,3,91041,198791
4096,1347459,1216917,292,30,251583,2,25,1799750,3464292,2,164917,399417
8192,2616208,2313500,500,33,455208,2,22,3333209,14767917,2,497291,697250
16384,5946792,6927709,333,42,1274041,2,31,5961458,61453083,3,1319459,1537417
32768,14138291,12275042,458,49,2615333,3,23,5473125,248892875,3,2116250,4072542
65536,20006041,19011041,333,30,2892709,6,21,7941958,982165917,0,3722291,5352250
