"Size";"add(E)";"addAll(Collection)";"clear()";"clone()";"constructor()";"constructor(Collection)";"contains(Object)";"containsAll(Collection)";"equals(Object)";"hashCode()";"isEmpty()";"iterator()";"remove(Object)";"removeAll(Collection)";"retainAll(Collection)";"size()";"toArray()";"toArray(T[])";"toString()"
5000;40147;45570;2092;39369;35;36365;33;2797;85895;28403;40;29126;53;7499;2123594;35;9561;12036;80080
10000;76199;85535;4149;78386;33;68323;35;5714;154923;61701;37;98895;65;15798;9081324;50;19100;25141;158616
15000;120422;146136;8138;116743;36;106417;36;9483;271526;106737;36;161280;54;22059;18439637;35;35081;45007;267549
20000;158796;185291;7984;158305;46;140643;32;11260;349446;100807;44;176539;115;29044;32601719;34;38212;50164;333635
25000;231039;276881;17557;223255;56;180549;80;13768;502235;149027;60;272196;220;37254;51798151;36;67324;85817;449553
30000;247974;321993;17639;234257;57;215419;62;17210;778939;135614;103;274208;96;43561;78834544;37;69504;103694;525982
35000;291915;332546;17585;287194;58;256537;83;20164;1225808;146479;95;212279;160;51222;126140441;39;74041;106967;629732
40000;291595;357344;17308;325410;67;294858;97;23275;1333918;248896;68;161376;158;59249;164488797;44;80913;122928;684480
45000;373109;390096;17969;355800;53;326029;106;26375;1117183;165786;120;167474;134;63197;214714708;45;84827;129429;774868
50000;463863;502143;38441;451299;49;363432;92;28233;1112695;262960;110;264019;124;70889;238499319;46;133495;186685;915819
