Size,AddTime,AddAllTime,ClearTime,ContainsTime,ContainsAllTime,IsEmptyTime,RemoveTime,RemoveAllTime,RetainAllTime,SizeTime,ToArrayTime,ToStringTime
16,6292,6250,1458,44,5000,29,103,27541,13541,31,3458,36833
32,9542,12750,875,42,5458,15,41,19541,15166,14,2291,15792
64,9916,9250,1375,41,3917,14,39,60666,50167,14,3750,13292
128,17875,20750,2291,44,7334,14,42,78417,64834,26,6959,12667
256,18458,21125,4625,28,18750,25,18,246542,261667,14,13417,24791
512,35042,41958,8500,16,25375,14,18,1045583,1006542,14,25125,52708
1024,74000,85708,16875,17,51125,16,17,1967500,274333,16,48875,87833
2048,138791,174792,32250,15,92916,4,18,1004500,950958,3,95458,172542
4096,269250,327916,63833,16,184250,3,18,3651042,3543041,2,220875,304166
8192,544083,631417,128708,17,374167,3,18,14926458,15258125,2,442792,532292
16384,1106042,782333,256209,145,743708,3,10,72714000,72766833,4,598292,1005916
32768,1720708,2772084,155875,14,1423292,3,9,252653792,240786416,4,700000,1822833
65536,2576875,2765500,294083,19,1249500,5,12,958540708,965463625,0,1032792,3498542
