Size,AddTime,AddAllTime,ClearTime,ContainsTime,ContainsAllTime,IsEmptyTime,RemoveTime,RemoveAllTime,RetainAllTime,SizeTime,ToArrayTime,ToStringTime
1,3541,2333,2125,2500,6427750,2125,4541,5416,17042,875,4500,1709
10,11959,10542,875,958,17041,209,917,7542,1708,167,750,250
50,62542,59875,2167,1042,35417,250,1083,30583,1500,125,708,250
100,123916,102583,3792,917,66166,291,1000,72333,1667,166,750,250
250,199042,68667,6916,958,135625,291,917,100917,1500,167,791,250
500,145458,135333,13708,5708,181042,250,3959,224209,1917,125,875,292
750,180459,167959,13709,3625,80292,333,7875,75459,1625,125,750,250
1000,172625,154625,26667,250,89375,250,334,97958,1541,125,667,250
2500,395625,354791,52250,250,212500,208,250,242000,1459,125,625,209
5000,779375,639083,103667,292,427083,208,292,481917,1333,125,583,209
7500,1091459,985792,207750,8375,565625,1000,584,690750,2375,167,1375,333
10000,1179208,745791,275125,7334,938291,250,583,911709,2416,166,1042,250
25000,3913041,2767417,471416,21417,1444209,334,1417,1667500,2584,125,1125,334
50000,6798708,7736416,137792,15792,2250959,333,417,2156209,4333,250,1291,416
100000,7833542,7434708,113542,9625,6108208,500,416,1439833,5709,250,1875,416
250000,17389042,16518708,230792,35334,5266000,625,625,3112500,5375,417,1708,875
500000,95704000,51418375,461625,1625,17943125,875,875,13007084,6958,542,2834,917
1000000,131830500,111463750,971709,8334,45622292,1458,625,36374042,10625,584,4208,917
2000000,247697459,192386917,1992083,1916,128390750,2375,2000,119254125,9791,542,4292,1084
4000000,496804250,522639000,4563417,6416,254322041,1416,6625,216089750,15792,833,5541,1791
7199369,1048273375,1200215625,8850333,8500,565858250,1708,7792,418720916,26750,792,7333,2084
8000000,1350984916,1031212792,8284417,5250,752186875,2250,9667,546075667,14792,625,6208,1625
10000000,1494475250,1147141583,11872292,11958,865472709,1583,5709,655289625,15834,750,5666,2041
